Название;Ссылка;Цена
Автоматика с терморегулятором для твердотопливных котлов;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/avtomatika-s-term-regulyatorom-dlya-tv-t-kotlov;1 924.30
Адаптер конденсационный Ø60/100 Camino;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-gazovim-kotlam/adapter-kondensacionniy-f60-100-camino;1 890.00
Адаптер ММ 430/0,5 мм Ø100 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/adapter-mm-430-0-5-mm-f100-ferrum;169.00
Адаптер ММ 430/0,5 мм Ø110 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/adapter-mm-430-0-5-mm-f110-ferrum;181.00
Адаптер ММ 430/0,5 мм Ø115 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/adapter-mm-430-0-5-mm-f115-ferrum;187.00
Адаптер ММ 430/0,5 мм Ø120 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/adapter-mm-430-0-5-mm-f120-ferrum;193.00
Адаптер ММ 430/0,5 мм Ø125 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/adapter-mm-430-0-5-mm-f125-ferrum;199.00
Адаптер ММ 430/0,5 мм Ø130 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/adapter-mm-430-0-5-mm-f130-ferrum;205.00
Адаптер ММ 430/0,5 мм Ø135 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/adapter-mm-f135-430-0-5-mm-ferrum;211.00
Адаптер ММ 430/0,5 мм Ø80 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/adapter-mm-430-0-5-mm-f80-ferrum;146.00
Блок элекртонагревателей ТЭНБ - 4,5 ТермМикс;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-yelektricheskim-kotlam/blok-yelektonagrevateley-tyenb-4-5-termmiks;1 256.90
Блок электронагревателей ТЭНБ - 12 ТермМикс;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-yelektricheskim-kotlam/blok-yelektonagrevateley-tyenb-12-termmiks;1 391.28
Блок электронагревателей ТЭНБ - 15 ТермМикс;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-yelektricheskim-kotlam/blok-yelektonagrevateley-tyenb-15-termmiks;1 628.43
Блок электронагревателей ТЭНБ - 3 ТермМикс;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-yelektricheskim-kotlam/blok-yelektonagrevateley-tyenb-3-termmiks;1 256.90
Блок электронагревателей ТЭНБ - 6 ТермМикс;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-yelektricheskim-kotlam/blok-yelektonagrevateley-tyenb-6-termmiks;1 312.23
Блок электронагревателей ТЭНБ - 9 ТермМикс;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-yelektricheskim-kotlam/blok-yelektonagrevateley-tyenb-9-termmiks;1 312.23
Выключатель SR-32N 16A/250V Ресурс;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-yelektricheskim-kotlam/viklyuchatel-sr-32n-16a-250v;94.86
Газогорелочное устройство УГОП-ИГН-16П;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/gazogorelochnoe-ustroystvo-ugop-ign-16p;2 970.00
Гидравлическое подсоединение Аква Комплект Protherm;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-yelektricheskim-kotlam/gidravlicheskoe-podsoedinenie-akvakomplekt;15 591.60
Датчик наружной температуры Buderus;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-gazovim-kotlam/datchik-naruzhnoy-temperaturi-buderus%09;2 044.80
Декоративная манжета + наконечник для 100/60 Stout;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-gazovim-kotlam/dekorativnaya-manzheta-nakonechnik-dlya-100-60;378.00
Декоративная манжета 80 мм Protherm;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-gazovim-kotlam/dekorativnaya-manzheta-80-mm-protherm;2 952.89
Дымоход 0,25м 430/0,5 мм Ø100 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-430-0-5-mm-f100-ferrum;261.00
Дымоход 0,25м 430/0,5 мм Ø110 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-430-0-5-mm-f110-ferrum;282.00
Дымоход 0,25м 430/0,5 мм Ø115 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-430-0-5-mm-f115-ferrum;282.00
Дымоход 0,25м 430/0,5 мм Ø120 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-430-0-5-mm-f120-ferrum;292.00
Дымоход 0,25м 430/0,5 мм Ø125 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-430-0-5-mm-f125-ferrum;302.00
Дымоход 0,25м 430/0,5 мм Ø130 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-430-0-5-mm-f130-ferrum;311.00
Дымоход 0,25м 430/0,5 мм Ø135 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-f135-430-0-5-mm-ferrum;321.00
Дымоход 0,25м 430/0,5 мм Ø150 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-430-0-5-mm-f150-ferrum;354.00
Дымоход 0,25м 430/0,5 мм Ø80 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-25m-430-0-5-mm-f80-ferrum;262.00
Дымоход 0,5м 430/0,5 мм Ø100 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-430-0-5-mm-f100-ferrum;421.00
Дымоход 0,5м 430/0,5 мм Ø110 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-430-0-5-mm-f110-ferrum;458.00
Дымоход 0,5м 430/0,5 мм Ø115 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-430-0-5-mm-f115-ferrum;476.00
Дымоход 0,5м 430/0,5 мм Ø120 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-430-0-5-mm-f120-ferrum;494.00
Дымоход 0,5м 430/0,5 мм Ø125 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-430-0-5-mm-f125-ferrum;513.00
Дымоход 0,5м 430/0,5 мм Ø130 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-430-0-5-mm-f130-ferrum;531.00
Дымоход 0,5м 430/0,5 мм Ø135 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-f135-430-0-5-mm-ferrum;549.00
Дымоход 0,5м 430/0,5 мм Ø150 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-430-0-5-mm-f150-ferrum;608.00
Дымоход 0,5м 430/0,5 мм Ø80 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-0-5m-430-0-5-mm-f80-ferrum;470.00
Дымоход 1,0м 430/0,5 мм Ø100 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-430-0-5-mm-f100-ferrum;651.00
Дымоход 1,0м 430/0,5 мм Ø110 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-430-0-5-mm-f110-ferrum;707.00
Дымоход 1,0м 430/0,5 мм Ø115 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-430-0-5-mm-f115-ferrum;711.00
Дымоход 1,0м 430/0,5 мм Ø120 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-430-0-5-mm-f120-ferrum;741.00
Дымоход 1,0м 430/0,5 мм Ø125 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-430-0-5-mm-f125-ferrum;800.00
Дымоход 1,0м 430/0,5 мм Ø130 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-430-0-5-mm-f130-ferrum;801.00
Дымоход 1,0м 430/0,5 мм Ø135 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-f135-430-0-5-mm-ferrum;868.00
Дымоход 1,0м 430/0,5 мм Ø150 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-430-0-5-mm-f150-ferrum;940.00
Дымоход 1,0м 430/0,5 мм Ø80 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/dimokhod-1-0m-430-0-5-mm-f80-ferrum;650.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø100 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-430-0-5-mm-f100-vnutrennyaya-ferrum;218.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø110 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-vnutrennyaya-430-0-5-mm-f110-ferrum;231.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø115 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-vnutrennyaya-430-0-5-mm-f115-ferrum;240.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø120 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-vnutrennyaya-430-0-5-mm-f120-ferrum;248.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø125 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-vnutrennyaya-430-0-5-mm-f125-ferrum;257.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø130 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-vnutrennyaya-430-0-5-mm-f130-ferrum;266.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø135 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-f135-vnutrennyaya-430-0-5-mm-ferrum;275.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø150 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-vnutrennyaya-430-0-5-mm-f150-ferrum;303.00
Заглушка для ревизии внутренняя 430/0,5 мм Ø80 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-dlya-revizii-430-0-5-mm-f80-vnutrennyaya-ferrum;196.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø100 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-430-0-5-mm-f100-nizhnyaya-ferrum;218.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø110 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-nizhnyaya-430-0-5-mm-f110-ferrum;231.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø115 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-nizhnyaya-430-0-5-mm-f115-ferrum;240.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø120 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-nizhnyaya-430-0-5-mm-f120-ferrum;248.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø125 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-nizhnyaya-430-0-5-mm-f125-ferrum;257.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø130 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-nizhnyaya-430-0-5-mm-f130-ferrum;266.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø135 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-f135-nizhnyaya-430-0-5-mm-ferrum;275.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø150 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-nizhnyaya-430-0-5-mm-f150-ferrum;303.00
Заглушка для трубы внешняя нижняя 430/0,5 мм Ø80 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zaglushka-vneshnyaya-dlya-trubi-430-0-5-mm-f80-nizhnyaya-ferrum;196.00
Зонт - Д 430/0,5 мм Ø100 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-430-0-5-mm-f100-feerum;420.00
Зонт - Д 430/0,5 мм Ø110 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-430-0-5-mm-f110-ferrum;449.00
Зонт - Д 430/0,5 мм Ø115 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-430-0-5-mm-f115-ferrum;464.00
Зонт - Д 430/0,5 мм Ø120 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-430-0-5-mm-f120-ferrum;479.00
Зонт - Д 430/0,5 мм Ø125 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-430-0-5-mm-f125-ferrum;495.00
Зонт - Д 430/0,5 мм Ø130 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-430-0-5-mm-f130-ferrum;510.00
Зонт - Д 430/0,5 мм Ø135 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-f135-430-0-5-mm-ferrum;526.00
Зонт - Д 430/0,5 мм Ø80 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-430-0-5-mm-f80-ferrum;363.00
Зонт - Д с ветрозащитой 430/0,5 мм Ø100 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-s-vetrozashhitoy-430-0-5-mm-f100-ferrum;940.00
Зонт - Д с ветрозащитой 430/0,5 мм Ø110 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-s-vetrozashhitoy-430-0-5-mm-f110-ferrum;984.00
Зонт - Д с ветрозащитой 430/0,5 мм Ø115 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-s-vetrozashhitoy-430-0-5-mm-f115-ferrum;1 007.00
Зонт - Д с ветрозащитой 430/0,5 мм Ø120 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-s-vetrozashhitoy-430-0-5-mm-f120-ferrum;1 029.00
Зонт - Д с ветрозащитой 430/0,5 мм Ø125 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-s-vetrozashhitoy-430-0-5-mm-f125-ferrum;1 052.00
Зонт - Д с ветрозащитой 430/0,5 мм Ø130 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-s-vetrozashhitoy-430-0-5-mm-f130-ferrum;1 075.00
Зонт - Д с ветрозащитой 430/0,5 мм Ø135 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-s-vetrozashhitoy-f135-430-0-5-mm-ferrum;1 098.00
Зонт - Д с ветрозащитой 430/0,5 мм Ø150 Ferrum;https://ovk-term.ru/kotli/komplektuyushhie-k-kotlam/k-tverdotoplivnim-kotlam/zont-d-s-vetrozashhitoy-430-0-5-mm-f150-ferrum;1 169.00
